iter	Passed	Remaining
0	2	276
1	4	236
2	6	224
3	8	204
4	10	199
5	12	192
6	14	187
7	16	193
8	18	191
9	21	189
10	22	184
11	24	181
12	26	176
13	28	172
14	29	169
15	32	168
16	34	166
17	35	163
18	37	160
19	39	157
20	41	155
21	42	152
22	44	150
23	47	148
24	48	146
25	50	144
26	52	141
27	54	139
28	55	136
29	57	134
30	59	132
31	61	130
32	63	129
33	65	127
34	67	125
35	69	123
36	71	121
37	72	118
38	74	116
39	76	114
40	78	113
41	79	110
42	81	108
43	83	106
44	85	104
45	87	103
46	89	101
47	91	99
48	92	96
49	94	94
50	95	91
51	97	89
52	98	87
53	100	85
54	101	83
55	103	81
56	104	78
57	106	77
58	107	74
59	109	72
60	111	71
61	112	69
62	113	66
63	114	64
64	114	61
65	115	59
66	116	57
67	117	55
68	117	52
69	118	50
70	119	48
71	119	46
72	120	44
73	121	42
74	122	40
75	123	39
76	125	37
77	126	35
78	127	33
79	127	31
80	128	30
81	129	28
82	129	26
83	130	24
84	131	23
85	131	21
86	132	19
87	133	18
88	134	16
89	134	14
90	135	13
91	136	11
92	137	10
93	138	8
94	139	7
95	140	5
96	140	4
97	141	2
98	142	1
99	143	0
